DINAMOMETRO;9028-3;LAG3538-1;NO INDICA;2015-04-17;2016-04-16;0;FUERZA
DINAMOMETRO;9028-3;LAG3538-2;NO INDICA;2015-04-17;2016-04-16;0;FUERZA
DINAMOMETRO;9028-3;LAG3538-3;NO INDICA;2015-04-17;2016-04-16;0;FUERZA
MANOMETRO;0-5000;NO INDICA;B4MAN5000-03;2015-04-21;2016-04-20;0;PRESION
MANOMETRO;MGA-100-A-9V-R;120316130;NO INDICA;2018-05-03;2019-05-03;1;PRESION
MANOMETRO DE REGULADOR 1;BU-2581-AQ;NO INDICA;BOA-H- 8011;2018-06-13;2019-06-13;1;PRESION
MANOMETRO DE REGULADOR 2;BU-2581-AT;NO INDICA;BOA-H- 8011;2018-06-13;2019-06-13;1;PRESION
MANOMETRO DE REGULADOR 1;BU-2581-AM;NO INDICA;BOA-H- 8012;2018-05-07;2019-05-07;1;PRESION
MANOMETRO;MGA-100;120316074;NO INDICA;2015-04-20;2016-04-19;0;PRESION
TRUE RMS MULTIMETER;179;94740334;BOA-H-8022;2017-08-28;2018-08-28;1;EL�CTRICA
MANOMETRO INFLADO DE RUEDA;8844-B;NO INDICA;BOA-H-8125;2014-04-29;2015-04-29;0;PRESION
TERMOMETRO BIMETALICO;0-200;10 G;NO INDICA;2015-04-29;2016-04-28;0;TEMPERATURA
TERMOMETRO BIMETALICO;0-200;10 B;NO INDICA;2015-04-29;2016-04-28;0;TEMPERATURA
BALANZA DIGITAL;SF-820;GL001;NO INDICA;2015-05-11;2016-05-10;0;MASA
MANOMETRO DE REGULADOR 2;CU-2581-HF;NO INDICA;BOA-H- 8012;2018-05-07;2019-05-07;1;PRESION
MANOMETRO;316L;NO INDICA;NO INDICA;2015-05-11;2016-05-10;0;PRESION
MANOMETRO DIGITAL;220-25;25432;NO INDICA;2015-05-11;2016-05-10;0;PRESION
BALANZA DIGITAL;TCS-A2;12149530;NO INDICA;2015-05-11;2016-05-10;0;MASA
CALIBRADOR ANALOGICO; 0-150;NO INDICA;BOA-H-8168;2018-03-22;2019-03-22;1;DIMENCIONAL
MEDIDOR DE ESPESORES DE PINTURA;6000;133168;BOA-H-8227;2016-03-31;2017-03-31;0;DIMENCIONAL
LLAVE DE TORQUE;QD1R200;409120242;BOA-H-82163;2018-04-19;2019-04-19;1;TORQUE
LLAVE DE TORQUE;QD3250;210218727;BOA-H-82208;2017-09-12;2018-09-12;1;TORQUE
LLAVE DE TORQUE;QD3250;210218729;BOA-H-82209;2018-04-19;2019-04-19;1;TORQUE
MANOMETRO DE REGULADOR 1;BU-2581-AQ;NO INDICA;BOA-H- 8003;2018-06-14;2019-06-14;1;PRESION
MANOMETRO DE REGULADOR 2;BU-2581-HF;NO INDICA;BOA-H- 8003;2018-06-14;2019-06-14;1;PRESION
MANOMETRO INFLADO DE RUEDAS;8844-B;NO INDICA;BOA-H-82201;2018-01-02;2019-01-02;1;PRESION
MANOMETRO;BU-2581-AT;NO INDICA;BOA-H-7023;2017-08-28;2018-08-28;1;PRESION
