3F CYLINDERS;INDUSTRIA MANUFACTURERA;Milton Coscio;;Pasaje Enrique Finot N� 1739 entre M. Omiste y Salomon Klein;cala cala ;4300000;67008400;mcosciom@hotmail.com                     mcoscio@3fcylinders.com;http://www.3fcylinders.com/                                                                              @3FCylinders
A.P.A. - RENE MONTA�O;;;;;;;;;
AEROESTE;;;;;;;;aeroeste@mail.cotas.com.bo;
AIR BP BOLIVIA S.A.;DISTRIBUICION DE HIDROCARBUROS SERVICIOS COMERCIALIZADO COMBUSTIBLE DE AVIACION;JHON TAPIA;;AV. SAN MART�N # 1700;;4216936-4216936;72150285;jhon.tapia@ypfbaviacion.com.bo;
AMASZONAS S.A.;TRANSPORTE Y ALMACENAMIENTO;Edgar Sandoval                                   Roberto Jaimes;;Av. Killman N� 132;jaihuayco;;68216523;rjaimes@amaszonas.com;https://www.amaszonas.com/es-bo/                                                      Amaszonas Bolivia
BOLINTER LTDA.;CONSTRUCCIoN;Jose Teran Soliz;;Doble Via La Guardia Km 3 1/2 No S/n Piso: S/n. Oficina: S/n. Zona: Sur Oeste;;3529270;72261507;joseteransoliz@gmail.com;http://www.bolinter.com/                                                                                                            Bolinter Ltda.                                                                                                                                                                                                                                Bolinter Contruciones Petroleras LTD.
BOLIVIANA DE AVIACION;TRANSPORTE Y ALMACENAMIENTO;Marcelo Argote;;Avenida simon lopez n� 1582 esquina german busch;colquiri;4117098;67408656;marcelo.argote@boa.bo;
BRIDGESTONE;COMERCIALIZACION DE LLANTAS, CAMARAS, AROS, BATERIAS Y AFINES.;Marcelo Serna;;Av.Blanco Galindo esq Beijin;chimba;71467528;71467528;cobocaucho@gmail.com;
CATERING LA CACEROLA;;;;;;;;;
CEMAER;;;;;;;;;
CERVECERIA BOLIVIANA NACIONAL PLANTA PEPSI;;;;;;;;;
CGC S.R.L.;;;;;;;;;
COBOCE HORMIGON;INDUSTRIA MANUFACTURERA;Ruben Guzman;;victor ustariz k4 1/2 ;chimba;4430879;72204387;info@coboce.com;
CONTA OIL GAS SERVICE SRL;;;;AV. PARAGUA S/N ENTRE 4� Y 5� ANILLO PARQUE INDUSTRIAL P.I. 28;;3491605, 3110502;;info@contasrl.com;Conta oil gas service srl.
COPELME;;Ing. Victor Ramos ;;Av Villazon km. 6.5;amancayas sacaba;4720600 4720602;67402382;;
DRESSER RAND COLOMBIA;;;;;;;;;http://www.dresser-rand.com/                                    Dresser-Rand Group Inc. (West 8 Tower)
DROGUERIA INTI S.A.;INDUSTRIA MANUFACTURERA;Ing. Mauricio Salinas;;Av. Ecol�gica del colegio Tiquipaya 100 mts hacia tiquipaya entrar por el pasaje del letrero INTI;tiquipaya;4172000 int 2022;67598805;mauricio.salinas@inti.com.bo;www.inti.com.bo/                                                                                                          Droguer�a INTI S.A.
DURALIT;;;;;;;;;
ELIAS SAUCEDO;;;;;;;;;http://www.dresser-rand.com/                                    Dresser-Rand Group Inc. (West 8 Tower)
EMBOL S.A;INDUSTRIA MANUFACTURERA;Ing. Victor Sapiensia;;Av. Balnco Galindo km 10 Av. Elias Meneses;piami;4263000;60700019;vsapiencia@embol-sa.com;http://www.coca-coladebolivia.com.bo/Coca-Cola
EMBOL STA. CRUZ;;;;;;;;;
EMPRESA ELECTRICA VALLE HERMOSO S.A.;SUMINISTRO DE ELECTRICIDAD, GAS, VAPOR Y AIRE ACONDICIONADO;Gerente de Operaciones Ing. Isac  Vasquez    Asistente de Planta Ing. Roy Gonzales;;Calle Tarija No 1425 entre Portales    Calle Tupaj Katari No 2086 entre Huallparimachi y Ciclovia;;4240544 4247473 ;72221500;roy.gonzales@evh.bo;
ENABOLCO LTDA.;INDUSTRIA MANUFACTURERA;Ing.Enrique Trive�o ;;Av. Blanco Galindo Km.11,5 N� S/n Zona: Iquircollo;iquircollo;4260744;;subdirproduccion@enabolco.com - produccion@enabolco.com;http://www.enabolco.com/index.php/es/                                                                             Enabolco
ENDE ANDINA;SUMINISTRO DE ELECTRICIDAD, GAS, VAPOR Y AIRE ACONDICIONADO;Ing. Cristia Leon;;Av. Ecologica N�88, pasaje villa gardenias n�40- Tiquipaya;tiquipaya;4664001      4123820;72220224;cristian.leon@endeandina.bo;http://www.ende.bo/                                                                                                                    ENDE Corporaci�n
ESTUQUERA CAYARA;INDUSTRIA MANUFACTURERA;Ing. Guillermo Torrez;;C/Cochabamba  N� 532(potos�) ---km 25;;26249047-2624904 67409031 ;67409030;gtorrrez@gmail.com ;http://estuqueracayara.com/                                          ESTUQUERA CAYARA
FABE S.R.L.;INDUSTRIA MANUFACTURERA;Lic. Carlos Hurtado.;;avenida centenario subiendo a taqui�a;centenario;(4288288) Int: 320;;;
FABOCE;INDUSTRIA MANUFACTURERA;Tec, Cristian Lazarte (Jefe Calidad);; Av Villazon km 8 Huallyani KM 8 ANTES DE LLEGAR A UDABOL entrar una cuadra al sud  por el letrero de FABOCE ;huayllani;4270090;�71420271;clazarte@faboce.com.bo;
FABRICA BOLIVIANA DE MUNICIONES;INDUSTRIA MANUFACTURERA;Sub of. Benito Ugarte;;Av. Bilbao Rioja - KM 11 1/2 Av. Blanco Galindo, Cotapachi, Quillacollo, Cochabamba;cotapachi;;;;
FANACIM;INDUSTRIA MANUFACTURERA; Mauricio Ledezma;;Avenida Italia 132. plaza principal de Valle Hermoso. SUCURSAL: Av. Blanco Galindo Km 0 Esquina Alto de la Alianza;valle hermoso;4762333;76401584;mledezma@fanacim.com.bo;
FEMCO;INDUSTRIA MANUFACTURERA;Ing. Ian Villarroel   135           Ing. Silvia;;Av. Decima km. 6.5 carretera a Sacaba 300 mts. Al norte de la rotonda;amancayas sacaba;4297771 4425890 ;71782448 72252927;importaciones.femco@femco.com.bo - qc.silvia@gmail.com;
